"","species","genus","family","other","ncbi","custom","rank"
"1","Aidablennius sphynx","Aidablennius","Blenniidae",1,NA,NA,"species"
"2","Alosa fallax","Alosa","Clupeidae",1,1,1,"species"
"3","Apogon imberbis","Apogon","Apogonidae",1,2,NA,"species"
"4","Atherina boyeri","Atherina","Atherinidae",1,NA,NA,"species"
"5","Balistes capriscus","Balistes","Balistidae",1,NA,NA,"species"
"6","Belone belone","Belone","Belonidae",1,NA,NA,"species"
"7","Blennius ocellaris","Blennius","Blenniidae",1,NA,NA,"species"
"8","Boops boops","Boops","Sparidae",1,1,NA,"species"
"9","Bothus podas","Bothus","Bothidae",1,NA,NA,"species"
"10","Callionymus maculatus","Callionymus","Callionymidae",1,1,1,"species"
"11","Capros aper","Capros","Caproidae",3,1,1,"species"
"12","Cepola macrophthalma","Cepola","Cepolidae",1,NA,NA,"species"
"13","Cheilopogon heterurus","Cheilopogon","Exocoetidae",1,NA,NA,"species"
"14","Chelidonichthys lucerna","Chelidonichthys","Triglidae",4,NA,NA,"species"
"15","Chelidonichthys obscurus","Chelidonichthys","Triglidae",2,NA,1,"species"
"16","Chelon auratus","Chelon","Mugilidae",1,1,NA,"species"
"17","Chelon ramada","Chelon","Mugilidae",1,1,NA,"species"
"18","Chimaera monstrosa","Chimaera","Chimaeridae",1,1,1,"species"
"19","Chromis chromis","Chromis","Pomacentridae",4,1,NA,"species"
"20","Citharus linguatula","Citharus","Citharidae",1,NA,NA,"species"
"21","Coelorinchus caelorhincus","Coelorinchus","Macrouridae",2,NA,1,"species"
"22","Conger conger","Conger","Congridae",2,NA,NA,"species"
"23","Coris julis","Coris","Labridae",2,1,NA,"species"
"24","Dentex dentex","Dentex","Sparidae",4,NA,NA,"species"
"25","Diplodus annularis","Diplodus","Sparidae",1,NA,NA,"species"
"26","Diplodus puntazzo","Diplodus","Sparidae",3,1,NA,"species"
"27","Diplodus sargus","Diplodus","Sparidae",2,1,NA,"species"
"28","Diplodus vulgaris","Diplodus","Sparidae",2,NA,NA,"species"
"29","Epinephelus marginatus","Epinephelus","Serranidae",2,2,NA,"species"
"30","Galeus melastomus","Galeus","Scyliorhinidae",8,1,1,"species"
"31","Gobius bucchichi","Gobius","Gobiidae",1,1,NA,"species"
"32","Gobius cruentatus","Gobius","Gobiidae",1,1,NA,"species"
"33","Gobius geniporus","Gobius","Gobiidae",1,NA,NA,"species"
"34","Gobius niger","Gobius","Gobiidae",4,2,NA,"species"
"35","Helicolenus dactylopterus","Helicolenus","Sebastidae",2,NA,1,"species"
"36","Hippocampus guttulatus","Hippocampus","Syngnathidae",3,NA,NA,"species"
"37","Labrus merula","Labrus","Labridae",5,NA,NA,"species"
"38","Labrus viridis","Labrus","Labridae",2,NA,NA,"species"
"39","Lepidorhombus boscii","Lepidorhombus","Scophthalmidae",3,NA,NA,"species"
"40","Lipophrys trigloides","Lipophrys","Blenniidae",2,NA,NA,"species"
"41","Lithognathus mormyrus","Lithognathus","Sparidae",1,NA,NA,"species"
"42","Lophius budegassa","Lophius","Lophiidae",2,1,NA,"species"
"43","Lophius piscatorius","Lophius","Lophiidae",1,1,NA,"species"
"44","Macroramphosus scolopax","Macroramphosus","Centriscidae",1,1,1,"species"
"45","Merluccius merluccius","Merluccius","Merlucciidae",2,1,1,"species"
"46","Mullus barbatus","Mullus","Mullidae",1,NA,NA,"species"
"47","Mullus surmuletus","Mullus","Mullidae",2,1,NA,"species"
