"","filter","station","date","replicate","Latitude","Longitude","avg_depth","max_depth","start","end","duration","temperature","comment"
"1","SPY193064","X0442","23/10/2019",1,46.8961393,-4.7780248,143,148,"5h45","6h07",22,15.475,"common dolphin"
"2","SPY193063","X0442","23/10/2019",2,46.8961393,-4.7780248,143,148,"5h45","6h07",22,15.475,"common dolphin"
"3","SPY193061","X0448","24/10/2019",1,46.3147228,-4.2150256,165,170,"5h47","6h07",20,16.3,"common dolphin"
"4","SPY193059","X0448","24/10/2019",2,46.3147228,-4.2150256,165,170,"5h47","6h07",20,16.3,"common dolphin"
"5","SPY193068","X0450","24/10/2019",1,46.0509606,-3.8861062,151,156,"12h42","12h02",20,16.862,"NA"
"6","SPY193058","X0450","24/10/2019",2,46.0509606,-3.8861062,151,156,"12h42","12h02",20,16.862,"NA"
"7","SPY193062","X0454","25/10/2019",1,45.8907485,-3.2114348,124,129,"4h52","5h07",15,16.831,"common dolphin"
"8","SPY193060","X0454","25/10/2019",2,45.8907485,-3.2114348,124,129,"4h52","5h07",15,16.831,"common dolphin"
"9","SPY192812","X0457","25/10/2019",1,45.2438012,-3.2297848,500,1045,"17h50","18h20",30,17.632,"strong boat drift"
"10","SPY192817","X0457","25/10/2019",2,45.2438012,-3.2297848,500,1045,"17h50","18h20",30,17.632,"strong boat drift"
"11","SPY192831","X0465","26/10/2019",1,44.8782105,-1.8595568,109,113,"4h54","5h14",20,18.718,"NA"
"12","SPY192811","X0465","26/10/2019",2,44.8782105,-1.8595568,109,113,"4h54","5h14",20,18.718,"NA"
"13","SPY192836","X0471","28/10/2019",1,44.2505771,-1.8937318,126,131,"4h40","5h00",20,18.019,"NA"
"14","SPY192818","X0471","28/10/2019",2,44.2505771,-1.8937318,126,131,"4h40","5h00",20,18.019,"NA"
"15","SPY192841","X0477","29/10/2019",1,43.8334093,-1.9882645,139,144,"4h36","4h56",20,18.6,"NA"
"16","SPY192835","X0477","29/10/2019",2,43.8334093,-1.9882645,139,144,"4h36","4h56",20,18.6,"NA"
"17","SPY192819","X0481","29/10/2019",1,44.0949793,-1.3818145,29,34,"18h30","18h40",10,18.63,"NA"
"18","SPY192847","X0481","29/10/2019",2,44.0949793,-1.3818145,29,34,"18h30","18h40",10,18.63,"NA"
"19","SPY192853","X0482","30/10/2019",1,44.5427539,-1.3295563,29,36,"5h02","5h12",10,18.21,"NA"
"20","SPY192810","X0482","30/10/2019",2,44.5427539,-1.3295563,29,36,"5h02","5h12",10,18.21,"NA"
"21","SPY192832","X0487","31/10/2019",1,45.5494714,-1.4159793,32,38,"4h52","5h02",10,18.15,"NA"
"22","SPY192827","X0487","31/10/2019",2,45.5494714,-1.4159793,32,38,"4h52","5h02",10,18.15,"NA"
"23","SPY192824","X0491","31/10/2019",1,45.7357645,-1.9193916,66,71,"18h36","18h46",10,18.79,"NA"
"24","SPY192823","X0491","31/10/2019",2,45.7357645,-1.9193916,66,71,"18h36","18h46",10,18.79,"NA"
"25","SPY192839","X0492","01/11/2019",1,45.8661842,-2.395217,96,101,"5h21","5h41",20,17.305,"NA"
"26","SPY192830","X0492","01/11/2019",2,45.8661842,-2.395217,96,101,"5h21","5h41",20,17.305,"NA"
"27","SPY192849","X0495","01/11/2019",1,46.6230167,-2.5939192,60,65,"16h00","16h10",10,17.72,"NA"
"28","SPY192852","X0495","01/11/2019",2,46.6230167,-2.5939192,60,65,"16h00","16h10",10,17.72,"10.5 litres instead of 14l"
"29","SPY192825","X0496","02/11/2019",1,46.5962065,-1.9759778,20,26,"5h05","5h15",10,16.64,"NA"
"30","SPY192826","X0496","02/11/2019",2,46.5962065,-1.9759778,20,26,"5h05","5h15",10,16.64,"NA"
