"","Alosa fallax","Anguilla anguilla","Aphanopus carbo","Aphia minuta","Argentina","Argyrosomus regius","Arnoglossus","Balistes capriscus","Belone","Beryx splendens","Boops boops","Borostomias antarcticus","Buglossidium luteum","Callionymus lyra","Callionymus maculatus","Capros aper","Cepola","Ceratoscopelus maderensis","Chelidonichthys","Chelon","Chimaera monstrosa","Coelorinchus","Conger conger","Crystallogobius linearis","Cyclothone microdon","Dasyatis tortonesei","Dicentrarchus","Dicologlossa cuneata","Echiichthys vipera","Enchelyopus cimbrius","Engraulis","Etmopterus","Eutrigla gurnardus","Gadiculus","Galeus","Gymnammodytes","Helicolenus dactylopterus","Lamna nasus","Lampanyctus","Lepidorhombus","Lesueurigobius friesii","Leucoraja","Lophius","Macroramphosus scolopax","Malacocephalus laevis","Maurolicus","Melanostigma atlanticum","Merluccius","Micromesistius poutassou","Microstomus kitt","Mola mola","Molva","Mullus surmuletus","Mustelus asterias","Myctophum punctatum","Myliobatis aquila","Notoscopelus","Pagellus acarne","Pagellus bogaraveo","Pagellus erythrinus","Parablennius pilicornis","Pegusa lascaris","Polymetme thaeocoryla","Pomatoschistus","Prionace glauca","Raja","Rhynchoconger flavus","Sarda sarda","Sardina pilchardus","Sarpa salpa","Scomber colias","Scomber scombrus","Scomberesox saurus","Scophthalmus maximus","Scophthalmus rhombus","Scorpaena scrofa","Scyliorhinus","Searsia koefoedi","Serranus cabrilla","Solea","Spondyliosoma cantharus","Sprattus sprattus","Squalus acanthias","Thunnus","Torpedo marmorata","Trachinus draco","Trachurus","Trigla lyra","Trisopterus","Umbrina","Xenodermichthys","Zeus faber","Ammodytes marinus","Atherina presbyter","Dasyatis pastinaca","Gaidropsarus macrophthalmus","Hexanchus griseus","Hippocampus hippocampus","Lepidotrigla dieuzeidei","Lithognathus mormyrus","Merlangius merlangus","Microchirus variegatus","Mora moro","Nezumia aequalis","Phycis blennoides","Syngnathus acus"
"X0442e",0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0448e",0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0450e",0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0454e",0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0457e",0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0465e",0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0471e",0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0477e",0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0481e",0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0482e",0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
