"","Alosa fallax","Ammodytes marinus","Argentina","Argyrosomus regius","Arnoglossus","Atherina presbyter","Balistes capriscus","Boops boops","Buglossidium luteum","Callionymus lyra","Callionymus maculatus","Capros aper","Cepola","Chelidonichthys","Chimaera monstrosa","Coelorinchus","Conger conger","Dasyatis pastinaca","Dasyatis tortonesei","Dicentrarchus","Dicologlossa cuneata","Echiichthys vipera","Enchelyopus cimbrius","Engraulis","Etmopterus","Eutrigla gurnardus","Gaidropsarus macrophthalmus","Galeus","Helicolenus dactylopterus","Hexanchus griseus","Hippocampus hippocampus","Lepidorhombus","Lepidotrigla dieuzeidei","Lesueurigobius friesii","Leucoraja","Lithognathus mormyrus","Lophius","Malacocephalus laevis","Maurolicus","Merlangius merlangus","Merluccius","Microchirus variegatus","Micromesistius poutassou","Molva","Mora moro","Mullus surmuletus","Myliobatis aquila","Nezumia aequalis","Pagellus acarne","Pagellus erythrinus","Phycis blennoides","Polymetme thaeocoryla","Pomatoschistus","Raja","Sarda sarda","Sardina pilchardus","Scomber colias","Scomber scombrus","Scophthalmus rhombus","Scyliorhinus","Solea","Spondyliosoma cantharus","Sprattus sprattus","Syngnathus acus","Trachinus draco","Trachurus","Trigla lyra","Trisopterus","Umbrina","Zeus faber","Anguilla anguilla","Aphanopus carbo","Aphia minuta","Belone","Beryx splendens","Borostomias antarcticus","Ceratoscopelus maderensis","Chelon","Crystallogobius linearis","Cyclothone microdon","Gadiculus","Gymnammodytes","Lamna nasus","Lampanyctus","Macroramphosus scolopax","Melanostigma atlanticum","Microstomus kitt","Mola mola","Mustelus asterias","Myctophum punctatum","Notoscopelus","Pagellus bogaraveo","Parablennius pilicornis","Pegusa lascaris","Prionace glauca","Rhynchoconger flavus","Sarpa salpa","Scomberesox saurus","Scophthalmus maximus","Scorpaena scrofa","Searsia koefoedi","Serranus cabrilla","Squalus acanthias","Thunnus","Torpedo marmorata","Xenodermichthys"
"X0442t",0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0448t",0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0450t",0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0454t",0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0457t",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0465t",0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0471t",0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0477t",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0481t",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X0482t",0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
