"","taxname","species","genus","family","order","class","subclass","infraclass","rank"
"Alosa fallax","Alosa fallax","Alosa fallax","Alosa","Clupeidae","Clupeiformes","Actinopterygii","Teleostei",NA,"species"
"Ammodytes marinus","Ammodytes marinus","Ammodytes marinus","Ammodytes","Ammodytidae","Trachiniformes","Actinopterygii","Teleostei",NA,"species"
"Anguilla anguilla","Anguilla anguilla","Anguilla anguilla","Anguilla","Anguillidae","Anguilliformes","Actinopterygii","Teleostei",NA,"species"
"Aphanopus carbo","Aphanopus carbo","Aphanopus carbo","Aphanopus","Trichiuridae","Scombriformes","Actinopterygii","Teleostei",NA,"species"
"Aphia minuta","Aphia minuta","Aphia minuta","Aphia","Gobiidae","Gobiiformes","Actinopterygii","Teleostei",NA,"species"
"Argentina","Argentina",NA,"Argentina","Argentinidae","Argentiniformes","Actinopterygii","Teleostei",NA,"genus"
"Argyrosomus regius","Argyrosomus regius","Argyrosomus regius","Argyrosomus","Sciaenidae","Acanthuriformes","Actinopterygii","Teleostei",NA,"species"
"Arnoglossus","Arnoglossus",NA,"Arnoglossus","Bothidae","Pleuronectiformes","Actinopterygii","Teleostei",NA,"genus"
"Atherina presbyter","Atherina presbyter","Atherina presbyter","Atherina","Atherinidae","Atheriniformes","Actinopterygii","Teleostei",NA,"species"
"Balistes capriscus","Balistes capriscus","Balistes capriscus","Balistes","Balistidae","Tetraodontiformes","Actinopterygii","Teleostei",NA,"species"
"Belone","Belone",NA,"Belone","Belonidae","Beloniformes","Actinopterygii","Teleostei",NA,"genus"
"Beryx splendens","Beryx splendens","Beryx splendens","Beryx","Berycidae","Beryciformes","Actinopterygii","Teleostei",NA,"species"
"Boops boops","Boops boops","Boops boops","Boops","Sparidae","Spariformes","Actinopterygii","Teleostei",NA,"species"
"Borostomias antarcticus","Borostomias antarcticus","Borostomias antarcticus","Borostomias","Stomiidae","Stomiiformes","Actinopterygii","Teleostei",NA,"species"
"Buglossidium luteum","Buglossidium luteum","Buglossidium luteum","Buglossidium","Soleidae","Pleuronectiformes","Actinopterygii","Teleostei",NA,"species"
"Callionymus lyra","Callionymus lyra","Callionymus lyra","Callionymus","Callionymidae","Callionymiformes","Actinopterygii","Teleostei",NA,"species"
"Callionymus maculatus","Callionymus maculatus","Callionymus maculatus","Callionymus","Callionymidae","Callionymiformes","Actinopterygii","Teleostei",NA,"species"
"Capros aper","Capros aper","Capros aper","Capros","Caproidae","Caproiformes","Actinopterygii","Teleostei",NA,"species"
"Cepola","Cepola",NA,"Cepola","Cepolidae","Perciformes","Actinopterygii","Teleostei",NA,"genus"
"Ceratoscopelus maderensis","Ceratoscopelus maderensis","Ceratoscopelus maderensis","Ceratoscopelus","Myctophidae","Myctophiformes","Actinopterygii","Teleostei",NA,"species"
"Chelidonichthys","Chelidonichthys",NA,"Chelidonichthys","Triglidae","Scorpaeniformes","Actinopterygii","Teleostei",NA,"genus"
"Chelon","Chelon",NA,"Chelon","Mugilidae","Mugiliformes","Actinopterygii","Teleostei",NA,"genus"
"Chimaera monstrosa","Chimaera monstrosa","Chimaera monstrosa","Chimaera","Chimaeridae","Chimaeriformes","Holocephali",NA,NA,"species"
"Coelorinchus","Coelorinchus",NA,"Coelorinchus","Macrouridae","Gadiformes","Actinopterygii","Teleostei",NA,"genus"
"Conger conger","Conger conger","Conger conger","Conger","Congridae","Anguilliformes","Actinopterygii","Teleostei",NA,"species"
"Crystallogobius linearis","Crystallogobius linearis","Crystallogobius linearis","Crystallogobius","Gobiidae","Gobiiformes","Actinopterygii","Teleostei",NA,"species"
"Cyclothone microdon","Cyclothone microdon","Cyclothone microdon","Cyclothone","Gonostomatidae","Stomiiformes","Actinopterygii","Teleostei",NA,"species"
"Dasyatis pastinaca","Dasyatis pastinaca","Dasyatis pastinaca","Dasyatis","Dasyatidae","Myliobatiformes","Elasmobranchii","Neoselachii","Batoidea","species"
"Dasyatis tortonesei","Dasyatis tortonesei","Dasyatis tortonesei","Dasyatis","Dasyatidae","Myliobatiformes","Elasmobranchii","Neoselachii","Batoidea","species"
"Dicologlossa cuneata","Dicologlossa cuneata","Dicologlossa cuneata","Dicologlossa","Soleidae","Pleuronectiformes","Actinopterygii","Teleostei",NA,"species"
"Echiichthys vipera","Echiichthys vipera","Echiichthys vipera","Echiichthys","Trachinidae","Trachiniformes","Actinopterygii","Teleostei",NA,"species"
"Enchelyopus cimbrius","Enchelyopus cimbrius","Enchelyopus cimbrius","Enchelyopus","Gadidae","Gadiformes","Actinopterygii","Teleostei",NA,"species"
"Engraulis","Engraulis",NA,"Engraulis","Engraulidae","Clupeiformes","Actinopterygii","Teleostei",NA,"genus"
"Etmopterus","Etmopterus",NA,"Etmopterus","Etmopteridae","Squaliformes","Elasmobranchii","Neoselachii","Selachii","genus"
"Eutrigla gurnardus","Eutrigla gurnardus","Eutrigla gurnardus","Eutrigla","Triglidae","Scorpaeniformes","Actinopterygii","Teleostei",NA,"species"
"Gadiculus","Gadiculus",NA,"Gadiculus","Gadidae","Gadiformes","Actinopterygii","Teleostei",NA,"genus"
"Gaidropsarus macrophthalmus","Gaidropsarus macrophthalmus","Gaidropsarus macrophthalmus","Gaidropsarus","Gadidae","Gadiformes","Actinopterygii","Teleostei",NA,"species"
"Galeus","Galeus",NA,"Galeus","Scyliorhinidae","Carcharhiniformes","Elasmobranchii","Neoselachii","Selachii","genus"
"Gymnammodytes","Gymnammodytes",NA,"Gymnammodytes","Ammodytidae","Trachiniformes","Actinopterygii","Teleostei",NA,"genus"
"Helicolenus dactylopterus","Helicolenus dactylopterus","Helicolenus dactylopterus","Helicolenus","Scorpaenidae","Scorpaeniformes","Actinopterygii","Teleostei",NA,"species"
"Hexanchus griseus","Hexanchus griseus","Hexanchus griseus","Hexanchus","Hexanchidae","Hexanchiformes","Elasmobranchii","Neoselachii","Selachii","species"
"Hippocampus hippocampus","Hippocampus hippocampus","Hippocampus hippocampus","Hippocampus","Syngnathidae","Syngnathiformes","Actinopterygii","Teleostei",NA,"species"
"Lamna nasus","Lamna nasus","Lamna nasus","Lamna","Lamnidae","Lamniformes","Elasmobranchii","Neoselachii","Selachii","species"
"Lampanyctus","Lampanyctus",NA,"Lampanyctus","Myctophidae","Myctophiformes","Actinopterygii","Teleostei",NA,"genus"
