"","species","genus","family","order","class"
"Alosa fallax","Alosa fallax","Alosa","Clupeidae","Clupeiformes","Actinopterygii"
"Ammodytes marinus","Ammodytes marinus","Ammodytes","Ammodytidae","Trachiniformes","Actinopterygii"
"Anguilla anguilla","Anguilla anguilla","Anguilla","Anguillidae","Anguilliformes","Actinopterygii"
"Aphanopus carbo","Aphanopus carbo","Aphanopus","Trichiuridae","Scombriformes","Actinopterygii"
"Aphia minuta","Aphia minuta","Aphia","Gobiidae","Gobiiformes","Actinopterygii"
"Argyrosomus regius","Argyrosomus regius","Argyrosomus","Sciaenidae","Acanthuriformes","Actinopterygii"
"Atherina presbyter","Atherina presbyter","Atherina","Atherinidae","Atheriniformes","Actinopterygii"
"Balistes capriscus","Balistes capriscus","Balistes","Balistidae","Tetraodontiformes","Actinopterygii"
"Beryx splendens","Beryx splendens","Beryx","Berycidae","Beryciformes","Actinopterygii"
"Boops boops","Boops boops","Boops","Sparidae","Spariformes","Actinopterygii"
"Borostomias antarcticus","Borostomias antarcticus","Borostomias","Stomiidae","Stomiiformes","Actinopterygii"
"Buglossidium luteum","Buglossidium luteum","Buglossidium","Soleidae","Pleuronectiformes","Actinopterygii"
"Callionymus lyra","Callionymus lyra","Callionymus","Callionymidae","Callionymiformes","Actinopterygii"
"Callionymus maculatus","Callionymus maculatus","Callionymus","Callionymidae","Callionymiformes","Actinopterygii"
"Capros aper","Capros aper","Capros","Caproidae","Caproiformes","Actinopterygii"
"Ceratoscopelus maderensis","Ceratoscopelus maderensis","Ceratoscopelus","Myctophidae","Myctophiformes","Actinopterygii"
"Chimaera monstrosa","Chimaera monstrosa","Chimaera","Chimaeridae","Chimaeriformes","Holocephali"
"Conger conger","Conger conger","Conger","Congridae","Anguilliformes","Actinopterygii"
"Crystallogobius linearis","Crystallogobius linearis","Crystallogobius","Gobiidae","Gobiiformes","Actinopterygii"
"Cyclothone microdon","Cyclothone microdon","Cyclothone","Gonostomatidae","Stomiiformes","Actinopterygii"
"Dasyatis pastinaca","Dasyatis pastinaca","Dasyatis","Dasyatidae","Myliobatiformes","Elasmobranchii"
"Dasyatis tortonesei","Dasyatis tortonesei","Dasyatis","Dasyatidae","Myliobatiformes","Elasmobranchii"
"Dicologlossa cuneata","Dicologlossa cuneata","Dicologlossa","Soleidae","Pleuronectiformes","Actinopterygii"
"Echiichthys vipera","Echiichthys vipera","Echiichthys","Trachinidae","Trachiniformes","Actinopterygii"
"Enchelyopus cimbrius","Enchelyopus cimbrius","Enchelyopus","Gadidae","Gadiformes","Actinopterygii"
"Eutrigla gurnardus","Eutrigla gurnardus","Eutrigla","Triglidae","Scorpaeniformes","Actinopterygii"
"Gaidropsarus macrophthalmus","Gaidropsarus macrophthalmus","Gaidropsarus","Gadidae","Gadiformes","Actinopterygii"
"Helicolenus dactylopterus","Helicolenus dactylopterus","Helicolenus","Scorpaenidae","Scorpaeniformes","Actinopterygii"
"Hexanchus griseus","Hexanchus griseus","Hexanchus","Hexanchidae","Hexanchiformes","Elasmobranchii"
"Hippocampus hippocampus","Hippocampus hippocampus","Hippocampus","Syngnathidae","Syngnathiformes","Actinopterygii"
"Lamna nasus","Lamna nasus","Lamna","Lamnidae","Lamniformes","Elasmobranchii"
"Lepidotrigla dieuzeidei","Lepidotrigla dieuzeidei","Lepidotrigla","Triglidae","Scorpaeniformes","Actinopterygii"
"Lesueurigobius friesii","Lesueurigobius friesii","Lesueurigobius","Gobiidae","Gobiiformes","Actinopterygii"
"Lithognathus mormyrus","Lithognathus mormyrus","Lithognathus","Sparidae","Spariformes","Actinopterygii"
"Macroramphosus scolopax","Macroramphosus scolopax","Macroramphosus","Centriscidae","Syngnathiformes","Actinopterygii"
"Malacocephalus laevis","Malacocephalus laevis","Malacocephalus","Macrouridae","Gadiformes","Actinopterygii"
"Melanostigma atlanticum","Melanostigma atlanticum","Melanostigma","Zoarcidae","Scorpaeniformes","Actinopterygii"
"Merlangius merlangus","Merlangius merlangus","Merlangius","Gadidae","Gadiformes","Actinopterygii"
"Microchirus variegatus","Microchirus variegatus","Microchirus","Soleidae","Pleuronectiformes","Actinopterygii"
"Micromesistius poutassou","Micromesistius poutassou","Micromesistius","Gadidae","Gadiformes","Actinopterygii"
"Microstomus kitt","Microstomus kitt","Microstomus","Pleuronectidae","Pleuronectiformes","Actinopterygii"
"Mola mola","Mola mola","Mola","Molidae","Tetraodontiformes","Actinopterygii"
"Mora moro","Mora moro","Mora","Moridae","Gadiformes","Actinopterygii"
"Mullus surmuletus","Mullus surmuletus","Mullus","Mullidae","Perciformes","Actinopterygii"
"Mustelus asterias","Mustelus asterias","Mustelus","Triakidae","Carcharhiniformes","Elasmobranchii"
"Myctophum punctatum","Myctophum punctatum","Myctophum","Myctophidae","Myctophiformes","Actinopterygii"
"Myliobatis aquila","Myliobatis aquila","Myliobatis","Myliobatidae","Myliobatiformes","Elasmobranchii"
"Nezumia aequalis","Nezumia aequalis","Nezumia","Macrouridae","Gadiformes","Actinopterygii"
"Pagellus acarne","Pagellus acarne","Pagellus","Sparidae","Spariformes","Actinopterygii"
"Pagellus bogaraveo","Pagellus bogaraveo","Pagellus","Sparidae","Spariformes","Actinopterygii"
"Pagellus erythrinus","Pagellus erythrinus","Pagellus","Sparidae","Spariformes","Actinopterygii"
"Parablennius pilicornis","Parablennius pilicornis","Parablennius","Blenniidae","Blenniiformes","Actinopterygii"
"Pegusa lascaris","Pegusa lascaris","Pegusa","Soleidae","Pleuronectiformes","Actinopterygii"
"Phycis blennoides","Phycis blennoides","Phycis","Gadidae","Gadiformes","Actinopterygii"
"Polymetme thaeocoryla","Polymetme thaeocoryla","Polymetme","Phosichthyidae","Stomiiformes","Actinopterygii"
"Prionace glauca","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Elasmobranchii"
"Rhynchoconger flavus","Rhynchoconger flavus","Rhynchoconger","Congridae","Anguilliformes","Actinopterygii"
"Sarda sarda","Sarda sarda","Sarda","Scombridae","Scombriformes","Actinopterygii"
"Sardina pilchardus","Sardina pilchardus","Sardina","Clupeidae","Clupeiformes","Actinopterygii"
"Sarpa salpa","Sarpa salpa","Sarpa","Sparidae","Spariformes","Actinopterygii"
"Scomber colias","Scomber colias","Scomber","Scombridae","Scombriformes","Actinopterygii"
"Scomber scombrus","Scomber scombrus","Scomber","Scombridae","Scombriformes","Actinopterygii"
"Scomberesox saurus","Scomberesox saurus","Scomberesox","Scomberesocidae","Beloniformes","Actinopterygii"
"Scophthalmus maximus","Scophthalmus maximus","Scophthalmus","Scophthalmidae","Pleuronectiformes","Actinopterygii"
