"","Max_length","Average.Depth","Depth.Range","Trophic_Level","Env_2","Body_shape","mode","fert","care"
"Alosa fallax",60,205,390,4,"pelagic","fusiform","D","E","N"
"Ammodytes marinus",25,80,140,3.3,"demersal","elongated","D","E","N"
"Aphanopus carbo",151,1250,2100,4.5,"bathypelagic","eel-like","D","E","N"
"Aphia minuta",7.9,48.5,97,3.1,"pelagic","elongated","D","E",NA
"Argyrosomus regius",230,157.5,285,4.3,"demersal","fusiform","D","E",NA
"Atherina presbyter",20,10,20,3.7,"pelagic","elongated","D","E","N"
"Balistes capriscus",60,50,100,4.1,"reef-associated","short/deep","D","E","Y"
"Beryx splendens",70,662.5,1275,4.3,"demersal","fusiform","D","E",NA
"Boops boops",40,175,350,2.8,"demersal","fusiform","G","E","N"
"Borostomias antarcticus",30,1465,2330,3.6,"bathydemersal","elongated","D","E",NA
"Buglossidium luteum",16.4,227.5,445,3.3,"demersal","flat","D","E","N"
"Callionymus lyra",30.5,217.5,425,3.3,"demersal","elongated","D","E","N"
"Callionymus maculatus",16.5,347.5,605,3.3,"demersal","elongated","D","E","N"
"Capros aper",30,370,660,3.1,"demersal","short/deep","D","E","N"
"Ceratoscopelus maderensis",8.1,765.5,1429,3.3,"bathypelagic","elongated","D","E",NA
"Chimaera monstrosa",150,720,1360,3.5,"bathydemersal","elongated","D","I","N"
"Conger conger",300,585.5,1171,4.3,"demersal","eel-like","D","E",NA
"Crystallogobius linearis",4.7,200.5,399,3.4,"demersal","elongated","D","E","Y"
"Cyclothone microdon",7.6,2750.5,5101,3,"bathypelagic","elongated","A",NA,NA
"Dasyatis pastinaca",69.5,102.5,195,4.1,"demersal","ray-like","D","I","Y"
"Dasyatis tortonesei",80,150,100,4,"demersal","ray-like","D","I",NA
"Dicentrarchus labrax",103,55,90,3.5,"demersal","fusiform","D","E","N"
"Dicentrarchus punctatus",70,55,90,3.9,"pelagic","fusiform","D","E","N"
"Dicologlossa cuneata",30,235,450,3.3,"demersal","short/deep","D","E","N"
"Echiichthys vipera",15,75,150,4.4,"demersal","elongated","D","E","N"
"Enchelyopus cimbrius",41,335,630,3.5,"demersal","elongated","D","E","N"
"Eutrigla gurnardus",60,175,330,3.9,"demersal","elongated","D","E","N"
"Gaidropsarus macrophthalmus",25,340,380,3.5,"demersal","elongated","D","E","N"
"Helicolenus dactylopterus",50,575,1050,3.5,"bathydemersal","fusiform","D","I","N"
"Hexanchus griseus",482,1250.5,2499,4.5,"bathydemersal","elongated","D","I","Y"
"Hippocampus hippocampus",15,15,30,3.2,"demersal","other","D","B","Y"
"Lamna nasus",350,680,1360,4.6,"pelagic","fusiform","D","I",NA
"Lepidotrigla dieuzeidei",20,328,536,3.7,"demersal","fusiform","D","E","N"
"Lesueurigobius friesii",13,70,120,3.4,"demersal","fusiform","D","E",NA
"Lithognathus mormyrus",55,75,150,3.4,"demersal","fusiform","A","E","N"
"Macroramphosus scolopax",20,312.5,575,3.5,"demersal","short/deep","D","E","N"
"Malacocephalus laevis",60,600,800,3.8,"bathydemersal","elongated",NA,NA,NA
"Melanostigma atlanticum",15,1126.5,1453,3,"bathypelagic","elongated","D","E","N"
"Merlangius merlangus",91.5,105,190,4.4,"demersal","fusiform","D","E","N"
"Microchirus variegatus",35,210,380,3.3,"demersal","flat","D","E","N"
"Micromesistius poutassou",55.5,1575,2850,4.1,"bathypelagic","elongated","D","E","N"
"Microstomus kitt",65,105,190,3.2,"demersal","short/deep","D","E","N"
"Mola mola",333,255,450,3.3,"pelagic","short/deep","D","E","N"
"Mora moro",80,1475,2050,3.8,"bathypelagic","fusiform","D","E","N"
"Mullus surmuletus",40,207,404,3.5,"demersal","fusiform","D","E",NA
"Mustelus asterias",140,175,350,3.6,"demersal","elongated","D","I",NA
"Myctophum punctatum",11,500,1000,3.4,"bathypelagic","fusiform","D","E",NA
"Myliobatis aquila",183,150.5,299,3.6,"demersal","ray-like","D","I",NA
"Nezumia aequalis",36,1260,2120,3.3,"demersal","elongated","D","E","N"
"Pagellus acarne",36,270,460,3.8,"demersal","fusiform","A","E","N"
"Pagellus bogaraveo",70,425,550,4.2,"demersal","fusiform","A","E","N"
"Pagellus erythrinus",60,160,280,3.5,"demersal","fusiform","G","E","N"
"Parablennius pilicornis",12.7,12.5,25,3.2,"demersal","fusiform","D","E",NA
"Pegusa lascaris",40,177.5,345,3.3,"demersal","short/deep","D","E","N"
"Phycis blennoides",110,605,1190,3.7,"demersal","fusiform","D","E","N"
"Polymetme thaeocoryla",21.6,806,1187,3.6,"demersal","fusiform",NA,NA,NA
"Prionace glauca",400,500.5,999,4.4,"pelagic","fusiform","D","I",NA
