"";"station";"Latitude";"Longitude";"Depth";"eSR.mean";"ePD.mean";"ePD.sd";"eVPD.mean";"eVPD.sd";"eMPD.mean";"eMPD.sd";"eFD.mean";"eFD.sd";"eFEve.mean";"eFEve.sd";"eFDiv.mean";"eFDiv.sd";"eFRic.mean";"eFRic.sd";"tSR.mean";"tPD.mean";"tPD.sd";"tVPD.mean";"tVPD.sd";"tMPD.mean";"tMPD.sd";"tFD.mean";"tFD.sd";"tFEve.mean";"tFeve.sd";"tFDiv.mean";"tFDiv.sd";"tFRic.mean";"tFRic.sd"
"1";"X0442";46,8961393;-4,7780248;148;35;4486,27240564356;67,126094424861;65469,8738760685;5652,48814299359;411,240563369384;5,84670254197244;5,33280318976927;0,217040683291332;0,72655007;0,013044778023482;0,782832102545959;0,00884368136177876;0,00026955877896733;4,0678557358026e-05;15;2440,94955217404;32,9085642927707;75644,6489763406;6471,48440781497;428,672861115789;6,9526863781685;4,76964709928529;0,305221950636377;0,82521598;0,0187233202723181;0,804127173782892;0,0133101600917943;3,97656430232546e-05;9,96810416542848e-06
"2";"X0448";46,3147228;-4,2150256;170;41;5239,97663120006;99,470487603474;72098,2498254411;6426,68242708946;447,413738801653;7,20028167284959;6,61070968007475;0,169006169272386;0,74324919;0,0108743981565218;0,79294595800545;0,00784718491890075;0,000673344602962471;9,92043511867037e-05;19;2793,44888390662;32,8331669668944;65963,0736496437;5599,27270460804;392,749352756216;5,58043963180686;4,63332874682106;0,296865307534136;0,77923498;0,0160589484875209;0,788833009246205;0,01424037442569;4,96524089516021e-05;1,15416781951885e-05
"3";"X0450";46,0509606;-3,8861062;156;38;4916,46497550816;82,2589729019931;69030,0263028855;6099,1620891635;431,116560039655;6,61038047490116;6,35764561708321;0,242463193854099;0,77346373;0,0147948724115431;0,812148383956353;0,00854316928063662;0,000449076355556862;4,04752948667303e-05;19;2687,66739726185;32,6775678171762;66680,8142290781;5613,05559458434;391,512142386101;5,57973654149954;4,02211338046758;0,293950641664277;0,73489138;0,0233435846051496;0,76605128049093;0,013913833745525;2,81297915378488e-05;6,62343419080504e-06
"4";"X0454";45,8907485;-3,2114348;129;37;4862,3367656286;81,8961660961753;71334,8238693194;6246,18320410067;431,069222045541;6,75616070970494;6,56793353690553;0,231213579799882;0,77493326;0,0146786291474677;0,820425295848074;0,00970218613361758;0,0004995088938733;5,14212520305596e-05;16;2579,4981491251;42,0349663287304;88338,4724318373;7654,03580559767;475,949942707677;9,11291883742051;4,21405659838506;0,327348495797184;0,7381639;0,0269893498825149;0,786256817236971;0,0194304467418766;1,59695358238352e-05;5,00590431070435e-06
"5";"X0457";45,2438012;-3,2297848;1045;36;4512,21472869124;59,3475321881475;63828,6441054574;5550,47763018775;407,679093965254;5,7135836079799;5,60796668491658;0,232089328897133;0,75876318;0,0165249019596291;0,80024767479733;0,00915165110754535;0,000397881280343659;6,78083951958553e-05;19;3304,01646879014;77,1820187190902;98911,4422183802;8154,69817993401;539,270887906592;11,4747655708889;5,44029781010015;0,168841317730824;0,85473374;0,0137986155626885;0,805078070376151;0,00901820457698213;0,000126868459050711;2,57393650840864e-05
"6";"X0465";44,8782105;-1,8595568;113;44;4939,22368367524;76,0636222797091;68297,712166063;5790,99628903584;394,100181300397;5,79032228735206;5,95963277034057;0,182198884701512;0,73385011;0,011996741761277;0,79646222859241;0,00744971586826241;0,00060994649797587;6,75689895221005e-05;20;2863,43867277887;32,853919945534;65266,4509759237;5488,89902957666;378,605869666491;5,33290727870156;3,55408975110238;0,30747371631994;0,69740977;0,0222508335183133;0,756906504286631;0,0172165732716597;3,10962743339371e-05;8,17729649483816e-06
"7";"X0471";44,2505771;-1,8937318;131;37;4558,45267927163;50,0189098437318;66403,545067563;5557,07292008044;394,32314159215;5,55705577672369;6,07816404615508;0,167295775650075;0,77851773;0,0135042806665258;0,807746082852006;0,00729562510446735;0,000342274370035818;4,86214741440368e-05;22;2884,25760563705;32,7324875041828;61852,8483724528;5086,64488907972;371,02261202837;4,86953104070543;4,13097169829645;0,254694803617212;0,67459528;0,0201495260575789;0,749296868044126;0,0135081591030093;4,21438041575345e-05;7,09522300040639e-06
"8";"X0477";43,8334093;-1,9882645;144;48;5916,24951393009;106,188338197409;73752,1760340578;6407,68643714449;444,954106853424;7,13724109264082;5,75453247036787;0,141838628811108;0,71948585;0,0124981124994129;0,803139094306882;0,00739829412169004;0,000568192432517393;2,96157129331434e-05;10;1707,06589343164;28,1711779029026;69695,229629262;5815,72231415262;376,678841732571;5,65058146829492;3,2289471884015;0,31660029777613;0,76563199;0,0350847652483988;0,794000017201248;0,0213642238549741;3,84696489847081e-06;1,41553687370848e-06
"9";"X0481";44,0949793;-1,3818145;34;50;5519,59303797765;99,0587551337673;71709,2635412639;6001,03095981414;397,968256703552;6,07016770283098;6,28750785248997;0,145191250916913;0,7055298;0,0141285609045056;0,790724300807191;0,00531454696423592;0,000599272925424966;9,15782901945884e-05;13;1859,33100574978;28,2533072095765;61853,1659490414;4868,2289105669;330,943804107056;4,36713446525196;3,25697246470861;0,206682094377197;0,78283619;0,0198055267726287;0,786482393390565;0,0365030313338401;1,07171770793949e-05;6,1316512544329e-07
"10";"X0482";44,5427539;-1,3295563;36;33;3772,89329067962;28,8223271270127;26596,9598039821;2001,99254259821;306,063629281033;1,75344990865414;4,796185221629;0,239112724522029;0,71554939;0,0124549437346068;0,795230910380592;0,0074708615393843;0,000214533464599063;1,66692650439172e-05;20;2491,19276120884;50,3831185618957;102264,371216597;8353,74820329691;453,068103976716;9,47059620608433;4,461941714125;0,1328372054876;0,71229429;0,0207142371852689;0,757733382058045;0,0138137694567502;3,49010395991528e-05;3,9631723928551e-06
"11";"X0487";45,5494714;-1,4159793;38;43;4992,18972200277;75,3496862175125;70873,1162407233;5854,15652821505;397,65486655121;5,91382552965512;7,52052169120529;0,161393628500181;0,71579806;0,0121059524918008;0,786759524566791;0,0062523439606864;0,000654730869352096;8,44929645037742e-05;19;1811,72706901429;5,51149939473031;6133,49926163558;65,7563398200225;276,169887816098;0,531641452168312;2,44402138172939;0,0773421783114152;0,70265567;0,0197517639846714;0,780358231099927;0,0165686172709391;7,36164307804293e-06;1,99961476180457e-06
"12";"X0491";45,7357645;-1,9193916;71;51;5647,11733185836;108,678516267244;69954,0452596162;5888,75554444929;398,625847126044;5,96263219196038;6,39925909009482;0,211175161264747;0,69651652;0,0115905214840543;0,787933234788961;0,00529559628048259;0,000641433074678727;2,68544592162919e-05;23;2907,65611716505;32,9728363330845;59540,4671721589;4922,70413892789;366,506048926625;4,67347550416262;3,56720526859867;0,293410557158895;0,66607874;0,0212004668862349;0,764108564403335;0,0129276393680554;3,20147231548708e-05;7,79147088534926e-06
"13";"X0492";45,8661842;-2,395217;101;55;5913,41168488378;75,5724396435431;58859,9724037757;4923,23601149051;373,077837617452;4,74400892855471;6,36957923077901;0,244432564162971;0,69149987;0,0131136549117531;0,781432700152103;0,00641230197590466;0,000623945955465378;9,33495423744109e-05;26;3217,0917707579;28,1848457882998;31610,475374993;2494,57433889061;317,056251887105;2,18521698455672;3,4332036883371;0,246733476603106;0,67039872;0,0218203569544079;0,75472720723037;0,0125882486203464;4,95842783778563e-05;1,17487613257325e-05
"14";"X0495";46,6230167;-2,5939192;65;41;4489,2994623607;33,669746824723;37700,8940249555;3017,77541364585;328,966095075272;2,70056067476758;4,90378972826064;0,217401040093323;0,69354227;0,0158761159842244;0,775867764626958;0,00923813252232146;0,00029071916662677;4,35881455728288e-05;18;2515,86525468969;33,2325371823589;70228,7480319091;5840,7648409157;396,234104673646;5,91191764457976;3,04394301710535;0,252006324343704;0,63729061;0,0219507946497491;0,813688934982638;0,0262055695322286;1,19763853187884e-05;3,84299283698115e-06
"15";"X0496";46,5962065;-1,9759778;26;44;4993,01166472995;80,4024254391107;68338,7767067765;5759,88135152226;396,298707917482;5,80087222265201;6,02873993678367;0,128465343482029;0,71455355;0,0109775030990842;0,794912596281291;0,00485340972678167;0,000448743045349275;3,38539931734645e-05;18;1908,93506464162;5,04743356259086;4815,34596159772;66,4146819826679;275,657704843208;0,531704832966467;3,74545145224779;0,0810284332219234;0,73879724;0,0238682744672259;0,761922682282911;0,0187785958395209;2,3430556711153e-05;2,46699336931632e-06
