Response.Var	filter	station	Station.code	Filtre.repl	AIC	R2	Intercept	Slope	P.value.slope	nb.taxa	best.allom.b
Nb. eDNA reads	SPY193064	X0442	1	1	198.958	0.043	8.556	0.012	0.554	10	1
Nb. eDNA reads	SPY193063	X0442	1	2	149.595	0.172	8.352	-0.014	0.105	8	0.6
Nb. eDNA reads	SPY193061	X0448	2	1	345.652	0.132	10.953	-0.014	0.027	15	1
Nb. eDNA reads	SPY193059	X0448	2	2	315.085	0.097	10.549	-0.01	0.114	14	1
Nb. eDNA reads	SPY193068	X0450	3	1	278.336	0.563	9.171	0.001	0.002	13	0
Nb. eDNA reads	SPY193058	X0450	3	2	283.53	0.228	9.546	0.001	0.131	13	0
Nb. eDNA reads	SPY193062	X0454	4	1	273.383	0.366	11.116	-0.147	0	12	0.88
Nb. eDNA reads	SPY193060	X0454	4	2	296.78	0.265	10.876	-0.119	0.01	13	1
Nb. eDNA reads	SPY192812	X0457	5	1	226.299	0.191	9.487	-0.027	0.013	11	0.47
Nb. eDNA reads	SPY192817	X0457	5	2	216.723	0.124	10.095	-0.014	0.08	10	0
Nb. eDNA reads	SPY192831	X0465	6	1	295.604	0.031	9.699	-0.01	0.328	14	1
Nb. eDNA reads	SPY192811	X0465	6	2	348.91	0.078	9.004	0.001	0.278	17	0
Nb. eDNA reads	SPY192836	X0471	7	1	339.614	0.009	11.298	-0.021	0.666	14	0.96
Nb. eDNA reads	SPY192818	X0471	7	2	311.82	0.032	9.818	0.002	0.469	14	0
Nb. eDNA reads	SPY192835	X0477	8	1	158.213	0.061	9.728	0.038	0.53	7	1
Nb. eDNA reads	SPY192841	X0477	8	2	170.818	0.006	9.261	0.001	0.834	8	0
Nb. eDNA reads	SPY192823	X0491	9	1	372.126	0.347	8.743	0.09	0.001	18	1
Nb. eDNA reads	SPY192824	X0491	9	2	330.302	0.495	9.217	0.069	0.001	15	1
Nb. eDNA reads	SPY192830	X0492	10	1	334.615	0.002	9.415	-0.007	0.845	16	1
Nb. eDNA reads	SPY192839	X0492	10	2	397.664	0.029	9.966	-0.021	0.412	18	1
Nb. eDNA reads	SPY192847	X0481	11	1	228.914	0.019	10.719	-0.034	0.596	10	1
Nb. eDNA reads	SPY192819	X0481	11	2	266.825	0.016	10.658	-0.04	0.562	12	1
Nb. eDNA reads	SPY192853	X0482	12	1	178.061	0.07	10.289	-0.091	0.352	8	1
Nb. eDNA reads	SPY192810	X0482	12	2	175.759	0.015	9.795	-0.033	0.706	8	1
Nb. eDNA reads	SPY192849	X0495	13	1	301.95	0.089	10.463	0	0.304	13	0
Nb. eDNA reads	SPY192852	X0495	13	2	230.931	0.158	10.236	0	0.215	10	0
Nb. eDNA reads	SPY192826	X0496	14	1	207.24	0.249	9.932	-0.051	0.002	10	0.71
Nb. eDNA reads	SPY192825	X0496	14	2	247.334	0.046	10.372	-0.031	0.378	11	1
Nb. eDNA reads	SPY192827	X0487	15	1	167.499	0.317	8.877	0.105	0.083	8	1
Nb. eDNA reads	SPY192832	X0487	15	2	164.88	0.176	8.6	0.108	0.194	8	1
Relative nb. eDNA reads	SPY193064	X0442	1	1	-45.692	0.081	0.015	0	0.426	10	111
Relative nb. eDNA reads	SPY193063	X0442	1	2	-51.274	0.075	0.006	0	0.51	8	56
Relative nb. eDNA reads	SPY193061	X0448	2	1	-33.748	0.055	0.059	0	0.383	16	111
Relative nb. eDNA reads	SPY193059	X0448	2	2	-19.163	0.033	0.067	0	0.516	15	111
Relative nb. eDNA reads	SPY193068	X0450	3	1	-59.238	0.903	0.013	0	0	14	11
Relative nb. eDNA reads	SPY193058	X0450	3	2	-51.028	0.717	0.016	0	0	14	11
Relative nb. eDNA reads	SPY193062	X0454	4	1	-53.874	0.856	0.026	0	0	13	11
Relative nb. eDNA reads	SPY193060	X0454	4	2	-32.981	0.11	0.046	0	0.247	14	11
Relative nb. eDNA reads	SPY192812	X0457	5	1	-26.746	0.069	0.049	0	0.434	11	11
Relative nb. eDNA reads	SPY192817	X0457	5	2	-22.521	0.065	0.052	0	0.477	10	11
Relative nb. eDNA reads	SPY192831	X0465	6	1	-43.075	0.547	0.028	0	0.002	15	11
Relative nb. eDNA reads	SPY192811	X0465	6	2	-67.856	0.889	0.011	0	0	18	11
Relative nb. eDNA reads	SPY192836	X0471	7	1	-25.615	0.005	0.065	-0.001	0.798	15	111
Relative nb. eDNA reads	SPY192818	X0471	7	2	-42.267	0.396	0.028	0	0.012	15	11
Relative nb. eDNA reads	SPY192835	X0477	8	1	-33.45	0.954	0.027	0	0	8	111
Relative nb. eDNA reads	SPY192841	X0477	8	2	-47.989	0.972	0.014	0	0	9	11
Relative nb. eDNA reads	SPY192823	X0491	9	1	-59.026	0.627	0.012	0.003	0	19	111
Relative nb. eDNA reads	SPY192824	X0491	9	2	-53.882	0.737	0.006	0.003	0	16	111
Relative nb. eDNA reads	SPY192830	X0492	10	1	-57.984	0.204	0.017	0	0.069	17	24
Relative nb. eDNA reads	SPY192839	X0492	10	2	-63.287	0.104	0.025	0	0.178	19	19
Relative nb. eDNA reads	SPY192847	X0481	11	1	-16.489	0.151	0.043	0	0.237	11	11
Relative nb. eDNA reads	SPY192819	X0481	11	2	-21.005	0.02	0.044	0	0.641	13	11
Relative nb. eDNA reads	SPY192853	X0482	12	1	-16.488	0.03	0.043	0	0.656	9	111
Relative nb. eDNA reads	SPY192810	X0482	12	2	-26.187	0.331	0.031	0.001	0.105	9	97
Relative nb. eDNA reads	SPY192849	X0495	13	1	-35.415	0.278	0.04	0	0.053	14	11
Relative nb. eDNA reads	SPY192852	X0495	13	2	-31.125	0.623	0.04	0	0.004	11	11
Relative nb. eDNA reads	SPY192826	X0496	14	1	-12.576	0.042	0.069	-0.002	0.546	11	111
Relative nb. eDNA reads	SPY192825	X0496	14	2	-19.351	0.013	0.06	-0.001	0.725	12	111
Relative nb. eDNA reads	SPY192827	X0487	15	1	-22.203	0.015	0.031	0.002	0.753	9	111
Relative nb. eDNA reads	SPY192832	X0487	15	2	-17.59	0.01	0.045	0	0.799	9	11
